lexicalEntry,partOfSpeech,writtenFormInfinitive/2ndPerson,writtenForm3rdPerson,writtenFormPast,writtenFormPerfect,SyntacticFrame,subject,directObject,sense,reference,domain,range,passivePreposition
Develop_1,verb,develop,develops,developed,developed,TransitiveFrame,domain,range,1,dbo:product,dbo:Company,dbo:Software,by
Develop_2,verb,develop,develops,developed,developed,TransitiveFrame,range,domain,1,dbo:developer,dbo:VideoGame,dbo:Agent,by
direct_2,verb,direct,directs,directed,directed,TransitiveFrame,range,domain,2,dbo:director,dbo:Software,dbo:Person,by
paint_1,verb,paint,paints,painted,painted,TransitiveFrame,range,domain,1,dbp:artist,dbo:Work,dbo:Person,by
paint_2,verb,paint,paints,painted,painted,TransitiveFrame,range,domain,1,dbo:artist,dbo:Work,dbo:Person,by
exhibit,verb,exhibit,exhibits,exhibited,exhibited,TransitiveFrame,range,domain,1,dbo:museum,dbo:Artwork,dbo: Museum,by
discover_1,verb,discover,discovers,discovered,discovered,TransitiveFrame,range,domain,1,dbo:discoverer,dbo:Planet,dbo:Person,by
cross,verb,cross,crosses,crossed,crossed,TransitiveFrame,domain,range,1,dbo:crosses,dbo:Bridge,dbo:River,by
win_1,verb,win,wins,won,won,TransitiveFrame,range,domain,1,dbo:award,dbo:Scientist,dbo:Award,by
create_1,verb,create,creates,created,created,TransitiveFrame,range,domain,1,dbo:creator,dbo:TelevisionShow,dbo:Agent,by
create_2,verb,create,creates,created,created,TransitiveFrame,range,domain,1,dbo:author,dbo:Website,dbo:Person,by
create_3,verb,create,creates,created,created,TransitiveFrame,range,domain,1,dbo:notableWork,dbo:Work,dbo:Person,by
starr_in_1,verb,starring in,starring in,starred in,starred_in,TransitiveFrame,range,domain,5,dbo:starring,dbo:Film,dbo:Person,by
star_3,verb,star,stars,starred,starred,TransitiveFrame,range,domain,1,dbo:starring,dbo:Work,dbo:Actor,by
play_1,verb,play,playes,played,played,TransitiveFrame,range,domain,1,dbp:portrayer,dbo:FictionalCharacter,dbo:Person,by
play_2,verb,play,plays,played,played,TransitiveFrame,range,domain,2,dbo:portrayer,dbo:Work,dbo:Actor,by
Play_3,verb,play,playes,played,played,TransitiveFrame,range,domain,1,dbo:starring,dbo:Film,dbo:Person,by
publish_1,verb,publish,publishes,published,published,TransitiveFrame,range,domain,1,dbo:publisher,dbo:Book,dbo:Publisher,by
publish_2,verb,publish,publishes,published,published,TransitiveFrame,range,domain,2,dbo:publisher,dbo:Publisher,dbo:Agent,by
Publish_3,verb,publish,publishes,published,published,TransitiveFrame,range,domain,2,dbo:publisher,dbo:VideoGame,dbo:Company,by
publish_4,verb,publish,publishes,published,published,TransitiveFrame,range,domain,4,dbp:publisher,dbo:Work,dbo:Agent,by
direct_1,verb,direct,directs,directed,directed,TransitiveFrame,range,domain,1,dbo:director,dbo:Film,dbo:Person,by
serve_1,verb,serve,serves,served,served,TransitiveFrame,range,domain,1,dbo:targetAirport,dbo:Airline,dbo:Airport,by
design_1,verb,design,designs,designed,designed,TransitiveFrame,range,domain,1,dbo:architect,dbo:ArchitecturalStructure,dbo:Architect,by
design_2,verb,design,designs,designed,designed,TransitiveFrame,range,domain,2,dbo:designer,dbo:Building,dbo:Person,by
cost_1,verb,cost,costs,costed,costed,TransitiveFrame,range,domain,1,dbo:budget,dbo:Film,xsd:double,by
write_1,verb,write,writes,wrote,written,TransitiveFrame,range,domain,1,dbo:writer,dbo:Song,dbo:Person,by
Write_2,verb,write,writes,wrote,wrote,TransitiveFrame,range,domain,2,dbp:writer,dbo:Work,dbo:Person,by
Write_3,verb,write,writes,wrote,written,TransitiveFrame,range,domain,3,dbo:composer,dbo:TelevisionShow,dbo:Person,by
Write_4,verb,write,writes,wrote,written,TransitiveFrame,range,domain,4,dbo:author,dbo:Book,dbo:Person,by
Write_5,verb,write,writes,wrote,wrote,TransitiveFrame,range,domain,5,dbp:allLyrics,dbo:Album,dbo:Person,by
Write_6,verb,write,writes,wrote,wrote,TransitiveFrame,range,domain,6,dbp:editor,dbo:Work,dbo:Person,by
express,verb,express,expresses,expressed,expressed,TransitiveFrame,domain,range,1,dbo:connotation,dbo:Colour,owl:Thing,by
call_1,verb,call,calls,called,called,TransitiveFrame,range,domain,1,dbp:nickname,dbo:Person,xsd:String,by
found_1,verb,found,found,founded,founded,TransitiveFrame,range,domain,1,dbo:foundedBy,dbo:Organisation,dbo:Pope,by
found_2,verb,found,founds,founded,founded,TransitiveFrame,range,domain,2,dbp:founder,dbo:Organisation,dbo:Person,by
