ID,sentence,TP,FP,FN,Precision,Recall,Fscore
1,List all boardgames by GMT.,8,0,0,1,1,1
2,Who developed Skype?,2,0,0,1,1,1
3,Which people were born in Heraklion?,57,0,0,1,1,1
4,In which U.S. state is Area 51 located?,2,0,0,1,1,1
5,Who is the mayor of New York City?,1,0,0,1,1,1
6,Which countries have places with more than two caves?,0,0,34,0,0,0
7,Where did Abraham Lincoln die?,2,0,0,1,1,1
8,Which airports does Air China serve?,9,0,0,1,1,1
9,Give me all actors starring in movies directed by and starring William Shatner.,0,0,12,0,0,0
10,What are the official languages of the Philippines?,2,0,0,1,1,1
11,Give me all Danish films.,122,0,0,1,1,1
12,Which movies starring Brad Pitt were directed by Guy Ritchie?,1,10,0,0.09090909,1,0.16666667
13,Give me the grandchildren of Bruce Lee.,0,0,1,0,0,0
14,Which other weapons did the designer of the Uzi develop?,0,0,1,0,0,0
15,Who is the owner of Universal Studios?,1,0,0,1,1,1
16,Which state of the USA has the highest population density?,0,1,0,0,0,0
17,Which monarchs were married to a German?,0,0,1,0,0,0
18,Which organizations were founded in 1950?,0,107,0,0,0,0
19,Who created the comic Captain America?,2,0,0,1,1,1
20,Give me the Apollo 14 astronauts.,3,0,0,1,1,1
21,Who wrote the book The pillars of the Earth?,1,0,0,1,1,1
22,Which state of the United States of America has the highest density?,1,0,0,1,1,1
23,Which spaceflights were launched from Baikonur?,13,0,0,1,1,1
24,Give me a list of all trumpet players that were bandleaders.,0,0,46,0,0,0
25,Which U.S. states are in the same timezone as Utah?,0,0,0,0,0,0
26,Which U.S. states possess gold minerals?,0,0,0,0,0,0
27,Who is the daughter of Ingrid Bergman married to?,0,2,0,0,0,0
28,How deep is Lake Placid?,1,0,0,1,1,1
29,Show me all museums in London.,81,0,0,1,1,1
30,Which caves have more than 3 entrances?,0,0,34,0,0,0
31,Who is the tallest player of the Atlanta Falcons?,1,0,0,1,1,1
32,What are the top-10 action role-playing video games according to IGN?,0,0,0,0,0,0
33,Give me all writers that won the Nobel Prize in literature.,21,0,0,1,1,1
34,Show me all basketball players that are higher than 2 meters.,4253,0,0,1,1,1
35,When was the Statue of Liberty built?,1,0,0,1,1,1
36,Which states border Illinois?,5,0,0,1,1,1
37,Who developed Minecraft?,1,0,0,1,1,1
38,Where did Hillel Slovak die?,2,0,0,1,1,1
39,What movies does Jesse Eisenberg play in?,0,0,25,0,0,0
