lemon,partOfSpeech,writtenForm (singular),writtenForm (plural),preposition,SyntacticFrame,copulativeArg,prepositionalAdjunct,sense,reference,domain,range,,,,GrammarRule1:question1,SPARQL,GrammarRule1: question2,SPARQL Question 2,GrammarRule 1: questions,SPARQL ,NP (Grammar Rule 2),type,number of rules
height_of,noun,height,-,of,NounPPFrame,range,domain,1,dbo:height,dbo:Model/dbo:Tower/dbo:BasketballPlayer,xsd:double,,,,"What (xsd:double, X) is the height/- of (dbo:Model/dbo:Tower/dbo:BasketballPlayer,Y?) ",SELECT ?X WHERE { Y dbo:height ?X.},FALSE,FALSE,"List the (xsd:double, X) - of (dbo:Model/dbo:Tower/dbo:BasketballPlayer,Y?) ",SELECT ?X WHERE { Y dbo:height ?X.},"the height of (dbo:Model/dbo:Tower/dbo:BasketballPlayer,Y) ",Qald-1,2
cost-of,noun,cost,costs,of,NounPPFrame,range,domain,1,dbo:budget,dbo:Film,xsd:double,,,,"What (xsd:double, X) is the cost/costs of (dbo:Film,Y?) ",SELECT ?X WHERE { Y dbo:budget ?X.},FALSE,FALSE,"List the (xsd:double, X) costs of (dbo:Film,Y?) ",SELECT ?X WHERE { Y dbo:budget ?X.},"the cost of (dbo:Film,Y) ",Qald-1,2
Creator-of,noun,creator,creators,of,NounPPFrame,range,domain,1,dbo:creator,dbo:FictionalCharacter,dbo:Person,,,,"What (dbo:Person, X) is the creator/creators of (dbo:FictionalCharacter,Y?) ",SELECT ?X WHERE { Y dbo:creator ?X.},"Who (dbo:Person, X) is the creator of (dbo:FictionalCharacter,Y?) (X dbo:creator Y)",SELECT ?X WHERE { Y dbo:creator ?X.},"List the (dbo:Person, X) creators of (dbo:FictionalCharacter,Y?) ",SELECT ?X WHERE { Y dbo:creator ?X.},"the creator of (dbo:FictionalCharacter,Y) ",Qald-1,2
population-of,noun,population,-,of,NounPPFrame,range,domain,1,dbo:populationTotal,dbo:PopulatedPlace,xsd:nonNegativeInteger,,,,"What (xsd:nonNegativeInteger, X) is the population/- of (dbo:PopulatedPlace,Y?) ",SELECT ?X WHERE { Y dbo:populationTotal ?X.},FALSE,FALSE,"List the (xsd:nonNegativeInteger, X) - of (dbo:PopulatedPlace,Y?) ",SELECT ?X WHERE { Y dbo:populationTotal ?X.},"the population of (dbo:PopulatedPlace,Y) ",Qald-1,2
causeOfDeath_of,noun,cause of death,causes of death,of,NounPPFrame,range,domain,1,dbo:deathCause,dbo:Person,xsd:String,,,,"What (xsd:String, X) is the cause of death/causes of death of (dbo:Person,Y?) ",SELECT ?X WHERE { Y dbo:deathCause ?X.},FALSE,FALSE,"List the (xsd:String, X) causes of death of (dbo:Person,Y?) ",SELECT ?X WHERE { Y dbo:deathCause ?X.},"the cause of death of (dbo:Person,Y) ",Qald-1,2
birthYear_of,noun,birth year,-,of,NounPPFrame,range,domain,1,dbo:birthYear,dbo:Person,xsd:gYear,,,,"What (xsd:gYear, X) is the birth year/- of (dbo:Person,Y?) ",SELECT ?X WHERE { Y dbo:birthYear ?X.},FALSE,FALSE,"List the (xsd:gYear, X) - of (dbo:Person,Y?) ",SELECT ?X WHERE { Y dbo:birthYear ?X.},"the birth year of (dbo:Person,Y) ",Qald-1,2
ingredient_of,noun,ingredient,ingredients,of,NounPPFrame,range,domain,1,dbo:ingredient,dbo:Food,owl:Thing,,,,"What (owl:Thing, X) is the ingredient/ingredients of (dbo:Food,Y?) ",SELECT ?X WHERE { Y dbo:ingredient ?X.},FALSE,FALSE,"List the (owl:Thing, X) ingredients of (dbo:Food,Y?) ",SELECT ?X WHERE { Y dbo:ingredient ?X.},"the ingredient of (dbo:Food,Y) ",Qald-1,2
dissolutionDate_of,noun,dissolution date,-,of,NounPPFrame,range,domain,1,dbo:dissolutionDate,dbo:AdministrativeRegion,xsd:date,,,,"What (xsd:date, X) is the dissolution date/- of (dbo:AdministrativeRegion,Y?) ",SELECT ?X WHERE { Y dbo:dissolutionDate ?X.},FALSE,FALSE,"List the (xsd:date, X) - of (dbo:AdministrativeRegion,Y?) ",SELECT ?X WHERE { Y dbo:dissolutionDate ?X.},"the dissolution date of (dbo:AdministrativeRegion,Y) ",Qald-1,2
firstSeason_of,noun,first season,first seasons,of,NounPPFrame,range,domain,1,dbo:seasonNumber,dbo:TelevisionShow,xsd:nonNegativeInteger,,,,"What (xsd:nonNegativeInteger, X) is the first season/first seasons of (dbo:TelevisionShow,Y?) ",SELECT ?X WHERE { Y dbo:seasonNumber ?X.},FALSE,FALSE,"List the (xsd:nonNegativeInteger, X) first seasons of (dbo:TelevisionShow,Y?) ",SELECT ?X WHERE { Y dbo:seasonNumber ?X.},"the first season of (dbo:TelevisionShow,Y) ",Qald-1,2
number_of,noun,number of locations,-,of,NounPPFrame,range,domain,1,dbo:numberOfLocations,dbo:Company,xsd:nonNegativeInteger,,,,"What (xsd:nonNegativeInteger, X) is the number of locations/- of (dbo:Company,Y?) ",SELECT ?X WHERE { Y dbo:numberOfLocations ?X.},FALSE,FALSE,"List the (xsd:nonNegativeInteger, X) - of (dbo:Company,Y?) ",SELECT ?X WHERE { Y dbo:numberOfLocations ?X.},"the number of locations of (dbo:Company,Y) ",Qald-1,2
DeathDate-of,noun,death date,-,of,NounPPFrame,range,domain,1,dbo:deathDate,dbo:Person,xsd:date,,,,"What (xsd:date, X) is the death date/- of (dbo:Person,Y?) ",SELECT ?X WHERE { Y dbo:deathDate ?X.},FALSE,FALSE,"List the (xsd:date, X) - of (dbo:Person,Y?) ",SELECT ?X WHERE { Y dbo:deathDate ?X.},"the death date of (dbo:Person,Y) ",Qald-1,2
recordLabel_of,noun,record label,record labels,of,NounPPFrame,range,domain,1,dbo:RecordLabel,dbo:Genre,xsd:string,,,,"What (xsd:string, X) is the record label/record labels of (dbo:Genre,Y?) ",SELECT ?X WHERE { Y dbo:RecordLabel ?X.},FALSE,FALSE,"List the (xsd:string, X) record labels of (dbo:Genre,Y?) ",SELECT ?X WHERE { Y dbo:RecordLabel ?X.},"the record label of (dbo:Genre,Y) ",Qald-1,2
completionDate-of,noun,completion date,-,of,NounPPFrame,range,domain,1,dbo:completionDate,dbo:Ship,xsd:date,,,,"What (xsd:date, X) is the completion date/- of (dbo:Ship,Y?) ",SELECT ?X WHERE { Y dbo:completionDate ?X.},FALSE,FALSE,"List the (xsd:date, X) - of (dbo:Ship,Y?) ",SELECT ?X WHERE { Y dbo:completionDate ?X.},"the completion date of (dbo:Ship,Y) ",Qald-1,2
numberOfPages-of,noun,number of pages,-,of,NounPPFrame,range,domain,1,dbo:numberOfPages,dbo:WrittenWork,xsd:positiveInteger,,,,"What (xsd:positiveInteger, X) is the number of pages/- of (dbo:WrittenWork,Y?) ",SELECT ?X WHERE { Y dbo:numberOfPages ?X.},FALSE,FALSE,"List the (xsd:positiveInteger, X) - of (dbo:WrittenWork,Y?) ",SELECT ?X WHERE { Y dbo:numberOfPages ?X.},"the number of pages of (dbo:WrittenWork,Y) ",Qald-1,2
timeZone-of,noun,time zone,time zones,of,NounPPFrame,range,domain,1,dbo:timeZone,dbo:City,xsd:string,,,,"What (xsd:string, X) is the time zone/time zones of (dbo:City,Y?) ",SELECT ?X WHERE { Y dbo:timeZone ?X.},FALSE,FALSE,"List the (xsd:string, X) time zones of (dbo:City,Y?) ",SELECT ?X WHERE { Y dbo:timeZone ?X.},"the time zone of (dbo:City,Y) ",Qald-1,2
areaCode_of,noun,area code,-,of,NounPPFrame,range,domain,1,dbo:areaCode,dbo:City,xsd:string,,,,"What (xsd:string, X) is the area code/- of (dbo:City,Y?) ",SELECT ?X WHERE { Y dbo:areaCode ?X.},FALSE,FALSE,"List the (xsd:string, X) - of (dbo:City,Y?) ",SELECT ?X WHERE { Y dbo:areaCode ?X.},"the area code of (dbo:City,Y) ",Qald-1,2
nickname_of,noun,nickname,nicknames,of,NounPPFrame,range,domain,1,dbp:nickname,dbo:City,xsd:string,,,,"What (xsd:string, X) is the nickname/nicknames of (dbo:City,Y?) ",SELECT ?X WHERE { Y dbp:nickname ?X.},FALSE,FALSE,"List the (xsd:string, X) nicknames of (dbo:City,Y?) ",SELECT ?X WHERE { Y dbp:nickname ?X.},"the nickname of (dbo:City,Y) ",Qald-1,2
party-of,noun,party,parties,of,NounPPFrame,range,domain,1,dbo:party,dbo:Politician,xsd:string,,,,"What (xsd:string, X) is the party/parties of (dbo:Politician,Y?) ",SELECT ?X WHERE { Y dbo:party ?X.},FALSE,FALSE,"List the (xsd:string, X) parties of (dbo:Politician,Y?) ",SELECT ?X WHERE { Y dbo:party ?X.},"the party of (dbo:Politician,Y) ",Qald-1,2
