LemonEntry,partOfSpeech,gender,writtenFormNominative(singular),writtenFormNominative (plural),writtenFormSingular (accusative),writtenFormSingular (dative),writtenFormSingular (genetive),preposition,SyntacticFrame,copulativeArg,prepositionalAdjunct,sense,reference,domain,range,domain_article,domain_written_singular,domain_written_plural,rangeArticle,range_written_singular,range_written_plural
Hauptstadt_von,noun,feminine,Hauptstadt,-,Hauptstadt,Hauptstadt,Hauptstadt,von,NounPPFrame,range,domain,1,dbo:capital,dbo:Country,dbo:City,neuter,Land,LÑnder,feminine,Stadt,-
BÅrgermeister_von_1,noun,masculine,BÅrgermeister,-,BÅrgermeister,BÅrgermeister,BÅrgermeisters,von,NounPPFrame,range,domain,1,dbo:mayor,dbo:City,dbo:Person,feminine,Stadt,StÑdte,feminine,Person,Personen
BÅrgermeister_von_2,noun,masculine,BÅrgermeister,-,BÅrgermeister,BÅrgermeister,BÅrgermeisters,von,NounPPFrame,range,domain,1,dbo:leaderName,dbo:City,dbo:Person,feminine,Stadt,StÑdte,feminine,Person,Personen
Hîhe_von,noun,feminine,Hîhe,-,Hîhe,Hîhe,Hîhe,von,NounPPFrame,range,domain,1,dbo:height,dbo:Lighthouse,xsd:integer,masculine,Leuchtturm,LeuchttÅrme,feminine,-,-
Amtssprache_von,noun,feminine,Amtssprache,Amtssprachen,Amtssprache,Amtssprache,Amtssprache,von,NounPPFrame,range,domain,1,dbo:officialLanguage,dbo:Country,dbo:Language,neuter,Land,LÑnder,feminine,Sprache,Sprachen
Gesamteinwohnerzahl_von,noun,feminine,Gesamteinwohnerzahl,-,Gesamteinwohnerzahl,Gesamteinwohnerzahl,Gesamteinwohnerzahl,von,NounPPFrame,range,domain,1,dbo:populationTotal,dbo:Location,xsd:double,feminine,Lage,Lagen,feminine,-,-
Herausgeber_von,noun,masculine,Herausgeber,Herausgeber,Herausgeber,Herausgeber,Herausgebers,von,NounPPFrame,range,domain,1,dbo:editor,dbo:WrittenWork,dbo:Person,neuter,Werk,Werke,feminine,Person,Personen
kinder_von,noun,neuter,Kind,Kinder,Kinder,Kinder,Kindes,von,NounPPFrame,range,domain,1,dbo:child,dbo:Person,dbo:Person,masculine,Person,Personen,masculine,Person,Personen
Bandmitglieder_von,noun,masculine,Bandmitglieder,Bandmitglieder,Bandmitglieder,Bandmitglieder,Bandmitgliederes,von,NounPPFrame,range,domain,1,dbo:bandMember,dbo:Band,dbo:Person,neuter,Band,Bande,feminine,Person,Personen
Frau_von,noun,feminine,Frau,Frauen,Frau,Frau,Frau,von,NounPPFrame,range,domain,1,dbo:spouse,dbo:Person,dbo:Person,masculine,Person,Personen,feminine,dbo:Person,Personen
Trainer_von,noun,masculine,Trainer,Trainer,Trainer,Trainer,Trainers,von,NounPPFrame,range,domain,1,dbo:coach,dbo:IceHockeyLeague,dbo:CollegeCoach,feminine,Liga,Ligen,masculine,Trainer,Trainer
Musik_von,noun,feminine,Musik,Musiken,Musik,Musik,Musik,von,NounPPFrame,domain,range,1,dbo:musicBy,dbo:Musical,dbo:Person,neuter,Musical,Musicals,masculine,Person,Personen
sohn_von,noun,feminine,Sohn,Sîhne,Sohn,Sohn,Sohn,von,NounPPFrame,range,domain,1,dbo:child,dbo:Person,dbo:Person,masculine,Person,Personen,feminine,dbo:Person,Personen
tocher_von,noun,feminine,Tochter,Tîchter,Tochter,Tochter,Tochter,von,NounPPFrame,range,domain,1,dbo:child,dbo:Person,dbo:Person,masculine,Person,Personen,feminine,dbo:Person,Personen
Spiele_von,noun,neuter,Spiel,Spiele,Spiel,Spiel,Spieles,von,NounPPFrame,domain,range,1,dbo:publisher,dbo:Publisher,dbo:Company,masculine,Herausgeber,Herausgeber,feminine,Firma,Firmen
spitzname_von,noun,masculine,Spitzname,Spitznamen,Spitzname,Spitznames,Spitznames,von,NounPPFrame,range,domain,1,dbp:nickname,dbo:City,xsd:String,feminine,Stadt,StÑdte,-,-,-
government_type,noun,feminine,Regierungsform,Regierungsform,Regierungsform,Regierungsform,Regierungsform,von,NounPPFrame,range,domain,,dbo:governmentType,dbo:Country,dbo:GovernmentType,neuter,Land,LÑnder,masculine,Typ,Typen
entwickler_von,noun,masculine,Entwickler,Entwickler,Entwickler,Entwickler,Entwicklers,von,NounPPFrame,range,domain,1,dbo:developer,dbo: Software,dbo:University,feminine,Software,Software,feminine,UniversitÑt,UniversitÑten
vorwahl_von,noun,feminine,Vorwahl,Vorwahl,Vorwahl,Vorwahl,Vorwahl,von,NounPPFrame,range,domain,1,dbo:areaCode,dbo:Place,xsd:string,feminine,Lage,Lagen,-,-,-
vizeprÑsident_von,noun,masculine,VizeprÑsident,VizeprÑsidenten,VizeprÑsident,VizeprÑsident,VizeprÑsident,von,NounPPFrame,range,domain,1,dbo:vicePresident,dbo:Person,dbo:Country,masculine,Person,Personen,neuter,Land,LÑnder
vizeprÑsident_unter,noun,masculine,VizeprÑsident,VizeprÑsidenten,VizeprÑsident,VizeprÑsident,VizeprÑsident,unter,NounPPFrame,range,domain,1,dbo:vicePresident,dbo:Politician,dbo:Person,masculine,Politiker,Politiker,masculine,Person,Personen
nachfolger_von,noun,masculine,Nachfolger,Nachfolger,Nachfolger,Nachfolger,Nachfolgers,von,NounPPFrame,range,domain,1,dbo:successor,dbo:Politician,dbo:Person,masculine,Politiker,Politiker,masculine,Person,Personen
wÑhrung_von,noun,feminine,WÑhrung,WÑhrungen,WÑhrung,WÑhrung,WÑhrung,von,NounPPFrame,range,domain,1,dbo:currency,dbo:Country,dbo:Currency,neuter,Land,LÑnder,feminine,WÑhrung,WÑhrungen
Doktorvater_von,noun,masculine,Doktorvater,DoktorvÑter,Doktorvater,Doktorvater,Doktorvaters,von,NounPPFrame,range,domain,1,dbo:doctoralAdvisor,dbo:Person,dbo:Person,masculine,Person,Personen,masculine,Person,Personen
Enkel_von,noun,masculine,Enkel,Enkel,Enkel,Enkel,Enkels,von,NounPPFrame,range,domain,1,dbo:parent,dbo:Person,dbo:Person,masculine,Person,Personen,masculine,Person,Personen
grî·tHauptstadt_von,noun,feminine,grî·te Stadt,grî·te StÑdte,grî·te Stadt,grî·te Stadt,grî·te Stadt,in,NounPPFrame,range,domain,1,dbo:largestCity,dbo:Country,dbo:City,neuter,Land,LÑnder,feminine,Stadt,StÑdte
Videospiele_von,noun,feminine,Videospiel,Videospiele,Videospiele,Videospiele,Videospiele,von,NounPPFrame,domain,range,1,dbo:publisher,dbo:VideoGame,dbo:Company,neuter,Videospiel,Videospiele,feminine,Gesellschaft,Gesellschaften
richtiger_Name_of,noun,feminine,richtiger Name,richtiger Name,richtiger Name,range,domain,von,NounPPFrame,range,domain,1,dbp:alterEgo,dbo:FictionalCharacter,xsd:string,musculine,Erfundener Charakter,Erfundener Charaktere,-,-,-
prÑsident_von,noun,masculine,prÑsident,prÑsidenten,prÑsident,prÑsident,prÑsident,von,NounPPFrame,range,domain,1,dbo:leader,dbo:Legislature,dbo:Person,feminine,Legislative,Legislativen,masculine,Person,Personen
koenig_von,noun,masculine,Kînig,Kînig,Kînig,Kînig,Kînig,von,NounPPFrame,range,domain,1,dbo:leader,dbo:Legislature,dbo:Royalty,feminine,Legislative,Legislativen,neuter,Kînigtum,KînigtÅmer
Zeitzone_von_1,noun,feminine,Zeitzone,Zeitzonen,Zeitzone,Zeitzone,Zeitzone,von,NounPPFrame,range,domain,1,dbo:timeZone,dbo:Town,xsd:string,feminine,Stadt,StÑdte,-,-,-
Zeitzone_von_2,noun,feminine,Zeitzone,Zeitzonen,Zeitzone,Zeitzone,Zeitzone,von,NounPPFrame,range,domain,1,dbp:timezone,dbo:City,xsd:string,feminine,Stadt,StÑdte,-,-,-
vater_von_1,noun,feminine,Vater,VÑter,Vater,Vater,Vater,von,NounPPFrame,range,domain,1,dbp:father,dbo:Person,dbo:Person,masculine,Person,Personen,feminine,dbo:Person,Personen
Eltern_von,noun,masculine,Enkel,Enkel,Enkel,Enkel,Enkels,von,NounPPFrame,range,domain,1,dbo:parent,dbo:Person,dbo:Person,masculine,Person,Personen,masculine,Person,Personen
Stadtteile_von,noun,masculine,Stadtteil,Stadtteile,Stadtteil,Stadtteil,Stadtteil,von,NounPPFrame,domain,range,1,dbo:governmentType,dbo:Town,dbo:Country,feminine,Stadt,StÑdte,neuter,Land,LÑnder
zutaten_von,noun,feminine,Zutaten,Zutaten,Zutat,Zutat,Zutaten,von,NounPPFrame,range,domain,1,dbo:ingredient,dbo:Food,owl:Thing,neuter,Essen,Essen,neuter,Ding,Dinger
Staatsangehîrigkeit_of,noun,feminine,Staatsangehîrigkeit,Staatsangehîrigkeit,Staatsangehîrigkeit,Staatsangehîrigkeit,Staatsangehîrigkeit,von,NounPPFrame,range,domain,1,dbo:nationality,dbo:Person,dbo:Country,masculine,Person,Personen,neuter,Land,LÑnder
