QALD id,match status,QALD question,QueGG question,comment,QALD SPARQL query,QueGG SPARQL query,TP,FP,FN,Precision,Recall,F-Measure
0,0.8450704225,When was the Battle of Gettysburg?,"""When was Battle of Gettysburg fought?""",,"PREFIX dbp: <http://dbpedia.org/property/>
 PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?date 
WHERE { 
 res:Battle_of_Gettysburg dbp:date ?date .
}","""select ?o 
{
 <http://dbpedia.org/resource/Battle_of_Gettysburg> <http://dbpedia.org/property/date> ?o . 
}""",2,0,0,1,1,1
1,0.825,List all the musicals with music by Elton John.,"""List all the musics by Elton John""",,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> 
SELECT DISTINCT ?uri
WHERE { 
 ?uri rdf:type dbo:Musical .
 ?uri dbo:musicBy res:Elton_John .
}","""select ?s 
{
 ?s <http://dbpedia.org/ontology/musicBy> <http://dbpedia.org/resource/Elton_John> . 
}""",4,0,0,1,1,1
2,0.9473684211,How high is the Cape Agulhas Lighthouse?,"""How high is Cape Agulhas Lighthouse?""",,SELECT DISTINCT ?num WHERE { <http://dbpedia.org/resource/Cape_Agulhas_Lighthouse> <http://dbpedia.org/ontology/height> ?num . },"""select ?o 
{
 <http://dbpedia.org/resource/Cape_Agulhas_Lighthouse> <http://dbpedia.org/ontology/height> ?o . 
}""",1,0,0,1,1,1
3,1,Who was the wife of Abraham Lincoln?,"""Who was the wife of Abraham Lincoln?""",,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri 
WHERE {
 res:Abraham_Lincoln dbo:spouse ?uri.
}","""select ?o 
{
 <http://dbpedia.org/resource/Abraham_Lincoln> <http://dbpedia.org/ontology/spouse> ?o . 
}""",1,0,0,1,1,1
4,0.9534883721,Who is the host of the BBC Wildlife Specials?,"""Who is the host of BBC Wildlife Specials?""",,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/BBC_Wildlife_Specials> <http://dbpedia.org/ontology/presenter> ?uri . },"""select ?o 
{
 <http://dbpedia.org/resource/BBC_Wildlife_Specials> <http://dbpedia.org/ontology/presenter> ?o . 
}""",1,0,0,1,1,1
5,1,How much did Pulp Fiction cost?,"""How much did Pulp Fiction cost?""",,SELECT DISTINCT ?n WHERE { <http://dbpedia.org/resource/Pulp_Fiction> <http://dbpedia.org/ontology/budget> ?n . },"""select ?o 
{
 <http://dbpedia.org/resource/Pulp_Fiction> <http://dbpedia.org/ontology/budget> ?o . 
}""",1,0,0,1,1,1
6,0,In what city is the Goldstar brewery?,,,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Goldstar_(beer)> <http://dbpedia.org/ontology/manufacturer> ?x . ?x <http://dbpedia.org/ontology/locationCity> ?uri . },,0,0,0,0,0,0
7,1,When did Operation Overlord commence?,"""When did Operation Overlord commence?""",,SELECT DISTINCT ?d WHERE { <http://dbpedia.org/resource/Operation_Overlord> <http://dbpedia.org/ontology/date> ?d . },"""select ?o 
{
 <http://dbpedia.org/resource/Operation_Overlord> <http://dbpedia.org/ontology/date> ?o . 
}""",1,0,0,1,1,1
8,0.95,In which city does the Chile Route 68 end?,"""in which city does Chile Route 68 end?""",,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Chile_Route_68> <http://dbpedia.org/ontology/routeEnd> ?uri . },"""select ?o 
{
 <http://dbpedia.org/resource/Chile_Route_68> <http://dbpedia.org/ontology/routeEnd> ?o . 
}""",1,0,0,1,1,1
9,1,Who developed Slack?,"""Who developed Slack?""",,SELECT DISTINCT ?uri WHERE { ?uri <http://dbpedia.org/ontology/product> <http://dbpedia.org/resource/Slack_(software)> . },"""select ?s 
{
 ?s <http://dbpedia.org/ontology/product> <http://dbpedia.org/resource/Slack_(software)> . 
}""",1,0,0,1,1,1
