LemonEntry,partOfSpeech,writtenForm,SyntacticFrame,copulativeSubject,attributiveArg,sense,reference,owl:onProperty,owl:hasValue,domain,range,question (attributive use),sparql1,question2 (predicative use),sparql2
australian_1,adjective,australian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Australia,dbo:Film,dbo:Film,"Give me australian (dbo:country res:Australia)(dbo:Film,X).",SELECT ?X WHERE { X dbo:country res:Australia ;  rdf:type dbo:Film},"which (dbo:Film,X) is australian (dbo:country res:Australia)?",
australian_2,adjective,australian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,2,owl:Restriction,dbo:nationality,res:Australia,dbo:Actor,dbo:Actor,"Give me australian (dbo:nationality res:Australia)(dbo:Actor,X).",SELECT ?X WHERE { X dbo:nationality res:Australia ;  rdf:type dbo:Actor},"which (dbo:Actor,X) is australian (dbo:nationality res:Australia)?",
belgian,adjective,belgian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Belgium,dbo:Film,dbo:Film,"Give me belgian (dbo:country res:Belgium)(dbo:Film,X).",SELECT ?X WHERE { X dbo:country res:Belgium ;  rdf:type dbo:Film},"which (dbo:Film,X) is belgian (dbo:country res:Belgium)?",
greek,adjective,greek,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Greece,dbo:Film,dbo:Film,"Give me greek (dbo:country res:Greece)(dbo:Film,X).",SELECT ?X WHERE { X dbo:country res:Greece ;  rdf:type dbo:Film},"which (dbo:Film,X) is greek (dbo:country res:Greece)?",
danish ,adjective,danish,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Denmark,dbo:Film,dbo:Film,"Give me danish (dbo:country res:Denmark)(dbo:Film,X).",SELECT ?X WHERE { X dbo:country res:Denmark ;  rdf:type dbo:Film},"which (dbo:Film,X) is danish (dbo:country res:Denmark)?",
algerian,adjective,algerian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Algeria,dbo:Film,dbo:Film,"Give me algerian (dbo:country res:Algeria)(dbo:Film,X).",SELECT ?X WHERE { X dbo:country res:Algeria ;  rdf:type dbo:Film},"which (dbo:Film,X) is algerian (dbo:country res:Algeria)?",
andorran,adjective,andorran,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Andorra,dbo:Film,dbo:Film,"Give me andorran (dbo:country res:Andorra)(dbo:Film,X).",SELECT ?X WHERE { X dbo:country res:Andorra ;  rdf:type dbo:Film},"which (dbo:Film,X) is andorran (dbo:country res:Andorra)?",
aruban,adjective,aruban,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Aruba,dbo:Film,dbo:Film,"Give me aruban (dbo:country res:Aruba)(dbo:Film,X).",SELECT ?X WHERE { X dbo:country res:Aruba ;  rdf:type dbo:Film},"which (dbo:Film,X) is aruban (dbo:country res:Aruba)?",
angolan,adjective,angolan,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Angola,dbo:Film,dbo:Film,"Give me angolan (dbo:country res:Angola)(dbo:Film,X).",SELECT ?X WHERE { X dbo:country res:Angola ;  rdf:type dbo:Film},"which (dbo:Film,X) is angolan (dbo:country res:Angola)?",
albanian,adjective,albanian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Albania,dbo:Film,dbo:Film,"Give me albanian (dbo:country res:Albania)(dbo:Film,X).",SELECT ?X WHERE { X dbo:country res:Albania ;  rdf:type dbo:Film},"which (dbo:Film,X) is albanian (dbo:country res:Albania)?",
afghan,adjective,afghan,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Afghanistan,dbo:Film,dbo:Film,"Give me afghan (dbo:country res:Afghanistan)(dbo:Film,X).",SELECT ?X WHERE { X dbo:country res:Afghanistan ;  rdf:type dbo:Film},"which (dbo:Film,X) is afghan (dbo:country res:Afghanistan)?",
azerbaijani,adjective,azerbaijani,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Azerbaijan,dbo:Film,dbo:Film,"Give me azerbaijani (dbo:country res:Azerbaijan)(dbo:Film,X).",SELECT ?X WHERE { X dbo:country res:Azerbaijan ;  rdf:type dbo:Film},"which (dbo:Film,X) is azerbaijani (dbo:country res:Azerbaijan)?",
brazilian,adjective,brazilian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Brazil,dbo:Film,dbo:Film,"Give me brazilian (dbo:country res:Brazil)(dbo:Film,X).",SELECT ?X WHERE { X dbo:country res:Brazil ;  rdf:type dbo:Film},"which (dbo:Film,X) is brazilian (dbo:country res:Brazil)?",
bulgarian,adjective,bulgarian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Bulgaria,dbo:Film,dbo:Film,"Give me bulgarian (dbo:country res:Bulgaria)(dbo:Film,X).",SELECT ?X WHERE { X dbo:country res:Bulgaria ;  rdf:type dbo:Film},"which (dbo:Film,X) is bulgarian (dbo:country res:Bulgaria)?",
bahamian,adjective,bahamian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:The_Bahamas,dbo:Film,dbo:Film,"Give me bahamian (dbo:country res:The_Bahamas)(dbo:Film,X).",SELECT ?X WHERE { X dbo:country res:The_Bahamas ;  rdf:type dbo:Film},"which (dbo:Film,X) is bahamian (dbo:country res:The_Bahamas)?",
barbadian,adjective,barbadian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Barbados,dbo:Film,dbo:Film,"Give me barbadian (dbo:country res:Barbados)(dbo:Film,X).",SELECT ?X WHERE { X dbo:country res:Barbados ;  rdf:type dbo:Film},"which (dbo:Film,X) is barbadian (dbo:country res:Barbados)?",
bengali,adjective,bengali,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Bangladesh,dbo:Film,dbo:Film,"Give me bengali (dbo:country res:Bangladesh)(dbo:Film,X).",SELECT ?X WHERE { X dbo:country res:Bangladesh ;  rdf:type dbo:Film},"which (dbo:Film,X) is bengali (dbo:country res:Bangladesh)?",
belarusian,adjective,belarusian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Belarus,dbo:Film,dbo:Film,"Give me belarusian (dbo:country res:Belarus)(dbo:Film,X).",SELECT ?X WHERE { X dbo:country res:Belarus ;  rdf:type dbo:Film},"which (dbo:Film,X) is belarusian (dbo:country res:Belarus)?",
belizean,adjective,belizean,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Belize,dbo:Film,dbo:Film,"Give me belizean (dbo:country res:Belize)(dbo:Film,X).",SELECT ?X WHERE { X dbo:country res:Belize ;  rdf:type dbo:Film},"which (dbo:Film,X) is belizean (dbo:country res:Belize)?",
benin,adjective,benin,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Benin,dbo:Film,dbo:Film,"Give me benin (dbo:country res:Benin)(dbo:Film,X).",SELECT ?X WHERE { X dbo:country res:Benin ;  rdf:type dbo:Film},"which (dbo:Film,X) is benin (dbo:country res:Benin)?",
botswana,adjective,botswana,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Botswana,dbo:Film,dbo:Film,"Give me botswana (dbo:country res:Botswana)(dbo:Film,X).",SELECT ?X WHERE { X dbo:country res:Botswana ;  rdf:type dbo:Film},"which (dbo:Film,X) is botswana (dbo:country res:Botswana)?",
bermudian,adjective,bermudian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Bermuda,dbo:Film,dbo:Film,"Give me bermudian (dbo:country res:Bermuda)(dbo:Film,X).",SELECT ?X WHERE { X dbo:country res:Bermuda ;  rdf:type dbo:Film},"which (dbo:Film,X) is bermudian (dbo:country res:Bermuda)?",
bolivian,adjective,bolivian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Bolivia,dbo:Film,dbo:Film,"Give me bolivian (dbo:country res:Bolivia)(dbo:Film,X).",SELECT ?X WHERE { X dbo:country res:Bolivia ;  rdf:type dbo:Film},"which (dbo:Film,X) is bolivian (dbo:country res:Bolivia)?",
colombian,adjective,colombian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Colombia,dbo:Film,dbo:Film,"Give me colombian (dbo:country res:Colombia)(dbo:Film,X).",SELECT ?X WHERE { X dbo:country res:Colombia ;  rdf:type dbo:Film},"which (dbo:Film,X) is colombian (dbo:country res:Colombia)?",
czech,adjective,czech,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Czech_Republic,dbo:Film,dbo:Film,"Give me czech (dbo:country res:Czech_Republic)(dbo:Film,X).",SELECT ?X WHERE { X dbo:country res:Czech_Republic ;  rdf:type dbo:Film},"which (dbo:Film,X) is czech (dbo:country res:Czech_Republic)?",
female,adjective,female,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:gender,res:Female,dbo:Economist,dbo:Person,"Give me all female (dbo:gender res:Female)(dbo:Person,X).",SELECT ?isA WHERE { ?isA dbo:gender res:Female. ?isA dbo:Economist},"which (dbo:Person,X)  (dbo:Economist ) is female (dbo:gender res:Female)?",
methodist,adjective,methodist,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:religion,res:Methodism,dbo:Economist,dbo:Person,"Give me methodist (dbo:religion res:Methodism)(dbo:Person,X).",SELECT ?isA WHERE { ?isA dbo:religion res:Methodism. ?isA dbo:Economist},"which (dbo:Person,X)  (dbo:Economist ) is methodist (dbo:religion res:Methodism)?",
British_1,adjective,British,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:United_Kingdom,dbo:Film,dbo:Film,"Give me British (dbo:country res:United_Kingdom)(dbo:Film,X).",SELECT ?isA WHERE { ?isA dbo:country res:United_Kingdom. ?isA dbo:Film},"which (dbo:Film,X)  (dbo:Film ) is British (dbo:country res:United_Kingdom)?",
British_2,adjective,British,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:United_Kingdom,dbo:Film,dbo:Film,"Give me British (dbo:nationality res:United_Kingdom)(dbo:Film,X).",SELECT ?isA WHERE { ?isA dbo:nationality res:United_Kingdom. ?isA dbo:Film},"which (dbo:Film,X)  (dbo:Film ) is British (dbo:nationality res:United_Kingdom)?",
American_3,adjective,American,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:United_States,dbo:Film,dbo:Film,"Give me American (dbo:country res:United_States)(dbo:Film,X).",SELECT ?isA WHERE { ?isA dbo:country res:United_States. ?isA dbo:Film},"which (dbo:Film,X)  (dbo:Film ) is American (dbo:country res:United_States)?",
American_4,adjective,American,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:United_States,dbo:Film,dbo:Film,"Give me American (dbo:nationality res:United_States)(dbo:Film,X).",SELECT ?isA WHERE { ?isA dbo:nationality res:United_States. ?isA dbo:Film},"which (dbo:Film,X)  (dbo:Film ) is American (dbo:nationality res:United_States)?",
Afghan_5,adjective,Afghan,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Afghanistan,dbo:Film,dbo:Film,"Give me Afghan (dbo:country res:Afghanistan)(dbo:Film,X).",SELECT ?isA WHERE { ?isA dbo:country res:Afghanistan. ?isA dbo:Film},"which (dbo:Film,X)  (dbo:Film ) is Afghan (dbo:country res:Afghanistan)?",
Afghan_6,adjective,Afghan,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Afghanistan,dbo:Film,dbo:Film,"Give me Afghan (dbo:nationality res:Afghanistan)(dbo:Film,X).",SELECT ?isA WHERE { ?isA dbo:nationality res:Afghanistan. ?isA dbo:Film},"which (dbo:Film,X)  (dbo:Film ) is Afghan (dbo:nationality res:Afghanistan)?",
Albanian_7,adjective,Albanian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Albania,dbo:Film,dbo:Film,"Give me Albanian (dbo:country res:Albania)(dbo:Film,X).",SELECT ?isA WHERE { ?isA dbo:country res:Albania. ?isA dbo:Film},"which (dbo:Film,X)  (dbo:Film ) is Albanian (dbo:country res:Albania)?",
Albanian_8,adjective,Albanian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Albania,dbo:Film,dbo:Film,"Give me Albanian (dbo:nationality res:Albania)(dbo:Film,X).",SELECT ?isA WHERE { ?isA dbo:nationality res:Albania. ?isA dbo:Film},"which (dbo:Film,X)  (dbo:Film ) is Albanian (dbo:nationality res:Albania)?",
Algerian_9,adjective,Algerian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Algeria,dbo:Film,dbo:Film,"Give me Algerian (dbo:country res:Algeria)(dbo:Film,X).",SELECT ?isA WHERE { ?isA dbo:country res:Algeria. ?isA dbo:Film},"which (dbo:Film,X)  (dbo:Film ) is Algerian (dbo:country res:Algeria)?",
Algerian_10,adjective,Algerian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Algeria,dbo:Film,dbo:Film,"Give me Algerian (dbo:nationality res:Algeria)(dbo:Film,X).",SELECT ?isA WHERE { ?isA dbo:nationality res:Algeria. ?isA dbo:Film},"which (dbo:Film,X)  (dbo:Film ) is Algerian (dbo:nationality res:Algeria)?",
