LemonEntry,partOfSpeech,writtenFormInfinitive/2ndPerson,writtenForm3rdPerson,writtenFormPast,writtenFormPerfect,preposition,SyntacticFrame,subject,prepositionalAdjunct,sense,reference,domain,range
end_career_on,verb,end his active career,ends his active career,ended his active career,ended his active career,on,IntransitivePPFrame,range,domain,1,dbo:activeYearsEndDate,dbo:Athlete,xsd:date
end_in_1,verb,end,ends,ended,ended,in,IntransitivePPFrame,domain,range,1,dbo:routeEnd,dbo:Road,dbo:City
end_in_2,verb,end,ends,ended,ended,in,IntransitivePPFrame,domain,range,2,dbo:routeEnd,dbo:ArchitecturalStructure,dbo:Location
end_in_3,verb,end,ends,ended,ended,in,IntransitivePPFrame,domain,range,3,dbo:routeEnd,dbo:Infrastructure,dbo:Location
end_in_4,verb,end,ends,ended,ended,in,IntransitivePPFrame,domain,range,4,dbo:routeEnd,dbo:RouteOfTransportation,dbo:Location
end_in_5,verb,end,ends,ended,ended,in,IntransitivePPFrame,domain,range,1,dbo:mouthPlace,dbo:River,dbo:PopulatedPlace
end_in_6,verb,end,ends,ended,ended,in,IntransitivePPFrame,domain,range,2,dbo:mouthCountry,dbo:River,dbo:Country
come_from,verb,come,comes,came,come,from,IntransitivePPFrame,domain,range,1,dbo:nationality,dbo:Person,dbo:Country
flow_into,verb,flow,flows,flowed,flown,into,IntransitivePPFrame,domain,range,1,dbo:inflow,dbo:River,dbo:River
grow_in,verb,grow,grows,grew,grown,in,IntransitivePPFrame,range,domain,1,dbo:growingGrape,dbo:WineRegion,dbo:Grape
die_from_1,verb,die,dies,died,died,from,IntransitivePPFrame,domain,range,1,dbo:deathCause,dbo:Person,owl:Thing
begin_at_1,verb,begin,begins,began,begun,at,IntransitivePPFrame,domain,range,1,dbp:source1Location,dbo:River,dbo:Country
begin_at_2,verb,begin,begins,began,began,at,IntransitivePPFrame,domain,range,1,dbp:source2Location,dbo:River,dbo:City
born_in_1,verb,born,-,born,born,in,IntransitivePPFrame,range,domain,1,dbo:birthYear,dbo:Person,xsd:gYear
born_in_2,verb,born,-,born,born,in,IntransitivePPFrame,domain,range,1,dbo:birthPlace,dbo:Person,dbo:Place
born_in_3,verb,born,-,born,born,in,IntransitivePPFrame,domain,range,1,dbo:birthPlace,dbo:Person,dbo:City
born_in_4,verb,born,-,born,born,in,IntransitivePPFrame,domain,range,1,dbo:birthPlace,dbo:Person,dbo:Country
born_in_6,verb,born,-,born,born,in,IntransitivePPFrame,domain,range,1,dbo:birthPlace,dbo:Actor,dbo:Country
born_in_7,verb,born,-,born,born,in,IntransitivePPFrame,domain,range,1,dbo:birthPlace,res:Surfing,dbo:Country
born_on_1,verb,born,-,born,born,on,IntransitivePPFrame,range,domain,1,dbo:birthDate,dbo:Person,xsd:date
dissolve_on_1,verb,dissolve,dissolves,dissolved,dissolved,on,IntransitivePPFrame,range,domain,1,dbo:dissolutionDate,dbo:Place,xsd:date
written_in,verb,write,writes,wrote,written,in,IntransitivePPFrame,domain,range,1,dbo:programmingLanguage,dbo:Work,dbo:Language
complete_in_1,verb,complete,completes,completed,completed,in,IntransitivePPFrame,range,domain,2,dbo:completionDate,dbo:Ship,xsd:date
complete_in_2,verb,complete,completes,completed,completed,in,IntransitivePPFrame,range,domain,1,dbo:buildingEndDate,dbo:ArchitecturalStructure,xsd:gYear
complete_in_3,verb,complete,completes,completed,completed,in,IntransitivePPFrame,range,domain,2,dbo:completionDate,dbo:Work,xsd:gYear
complete_in_4,verb,complete,completes,completed,completed,in,IntransitivePPFrame,range,domain,3,dbo:buildingEndDate,dbo:Bridge,xsd:gYear
complete_in_5,verb,complete,completes,completed,completed,in,IntransitivePPFrame,range,domain,4,dbo:buildingEndDate,dbo:Building,xsd:gYear
participate_in_1,verb,participate,participates,participated,participated,in,IntransitivePPFrame,range,domain,1,dbo:battle,dbo:MilitaryPerson,dbo:MilitaryConflict
die_on_1,verb,die,dies,died,died,on,IntransitivePPFrame,range,domain,1,dbo:deathDate,dbo:Person,xsd:date
die_in_1,verb,die,dies,died,died,in,IntransitivePPFrame,range,domain,1,dbo:deathDate,dbo:Person,xsd:date
die_in_2,verb,die,dies,died,died,in,IntransitivePPFrame,domain,range,1,dbo:deathPlace,dbo:Writer,dbo:Place
die_in_3,verb,die,dies,died,died,in,IntransitivePPFrame,domain,range,1,dbo:deathPlace,dbo:Politician,dbo:Place
die_in_4,verb,die,dies,died,died,in,IntransitivePPFrame,domain,range,1,dbo:deathPlace,dbo:Writer,dbo:City
die_in_5,verb,die,dies,died,died,in,IntransitivePPFrame,domain,range,1,dbo:deathPlace,dbo:Politician,dbo:City
die_from_1,verb,die,dies,died,died,from,IntransitivePPFrame,domain,range,1,dbo:deathCause,dbo:Person,owl:Thing
die_from_2,verb,die,dies,died,died,from,IntransitivePPFrame,domain,range,1,dbp:deathCause,dbo:Person,dbo:Disease
bury_in_1,verb,bury,buries,buried,buried,in,IntransitivePPFrame,domain,range,1,dbo:restingPlace,dbo:Person,dbo:City
bury_in_2,verb,bury,buries,buried,buried,in,IntransitivePPFrame,domain,range,1,dbp:burialPlace,dbo:Person,dbo:City
locate_in_1,verb,locate,locates,located,located,in,IntransitivePPFrame,domain,range,1,dbo:country,dbo:City,dbo:Country
locate_in_2,verb,locate,locates,located,located,in,IntransitivePPFrame,domain,range,1,dbp:location,dbo:MilitaryUnit,dbo:Location
locate_in_3,verb,locate,locates,located,located,in,IntransitivePPFrame,domain,range,1,dbp:location,dbo:ArchitecturalStructure,dbo:Location
locate_in_4,verb,locate,locates,located,located,in,IntransitivePPFrame,domain,range,1,dbo:country,dbo:Lake,dbo:Country
locate_in_5,verb,locate,locates,located,located,in,IntransitivePPFrame,domain,range,1,dbo:locatedInArea,dbo:Mountain,dbo:Country
found_in_1,verb,found,found,founded,founded,in,IntransitivePPFrame,range,domain,1,dbo:foundingYear,dbo:Organisation,xsd:gYear
found_in_2,verb,found,found,founded,founded,in,IntransitivePPFrame,domain,range,1,dbo:foundationPlace,dbo:Company,dbo:Country
found_in_4,verb,found,founds,founded,founded,in,IntransitivePPFrame,range,domain,2,dbo:foundingDate,dbo:Settlement,xsd:gYear
found_in_5,verb,found,founds,founded,founded,in,IntransitivePPFrame,range,domain,4,dbo:formationDate,dbo:PoliticalParty,xsd:gYear
found_in_6,verb,found,founds,founded,founded,in,IntransitivePPFrame,range,domain,1,dbp:founded,dbo:Organisation,xsd:date
found_in_7,verb,found,founds,founded,founded,in,IntransitivePPFrame,range,domain,1,dbo:govermentType,dbo:Organisation,xsd:string
commence_on_1,verb,commence,commences,commenced,commenced,on,IntransitivePPFrame,range,domain,1,dbp:date,dbo:MilitaryConflict,xsd:date
commence_on_2,verb,commence,commences,commenced,commenced,on,IntransitivePPFrame,range,domain,1,dbo:date,dbo:Event,xsd:date
call_1,verb,call,calls,called,called,X,IntransitivePPFrame,domain,range,1,dbp:nickname,dbo:Person,xsd:String
